episode,step,reward
1,196,-99.39056838490069
2,304,-82.91588655114174
3,636,-421.1746036019176
4,778,-12.852490447250602
5,850,17.218952840965358
6,1068,67.71852706791833
7,1109,37.95945869735442
8,1167,100.83146665914683
9,1316,101.23208761960268
10,1437,458.96950513496995
11,1469,34.50010447949171
12,1531,209.1261936906085
13,1612,495.26460341364145
14,1679,258.22814748995006
15,1806,-18.130795925855637
16,1876,459.6111000403762
17,1935,385.51628881692886
18,1987,211.62404589541256
19,2048,434.438620403409
20,2162,727.20514299348
21,2235,895.9581002816558
22,2294,527.3933106369805
23,2337,260.22626638412476
24,2408,82.44603534904309
25,2456,426.10993641614914
26,2551,380.8917257892899
27,2640,952.5839767307043
28,2719,950.677716948092
29,2773,442.14631909132004
30,2925,1240.5587090551853
31,2990,462.58306416869164
32,3053,704.6945682559162
33,3103,462.2111019194126
34,3155,439.3284449875355
35,3222,741.95908421278
36,3278,551.9765592850745
37,3334,472.15179742127657
38,3384,357.6016516029631
39,3427,209.5543768107891
40,3547,846.3580293804407
41,3609,568.9992491491139
42,3674,275.7037545950152
43,3724,508.8280880074017
44,3792,860.7974797105417
45,3870,1032.761574152857
46,3919,85.71362426364794
47,3976,498.4342372408137
48,4035,617.2861069962382
49,4087,386.0434239791939
50,4167,897.376894146204
51,4223,229.97618322260678
52,4275,567.2367907697335
53,4316,269.10707803070545
54,4408,729.9227871638723
55,4469,603.7800163254142
56,4523,509.69718289375305
57,4560,299.797591265291
58,4608,423.47250580388936
59,4676,835.9912235736847
60,4911,2849.1276695934794
61,4990,934.2135231047869
62,5141,794.5463010402163
63,5267,886.3548451885581
64,5373,1184.2494920790195
65,5396,35.74063213169575
66,5461,834.1525634732097
67,5536,-177.28631111979485
68,5643,1074.8169155344367
69,5707,525.8455653158017
70,5783,1021.8931126594543
71,5879,-12.475847404450178
72,5953,766.3845959156752
73,6034,1310.508558921516
74,6160,897.2786039704224
75,6177,16.979578107595444
76,6272,1283.9952928721905
77,6324,513.2875093896873
78,6440,1138.5142988543957
79,6504,730.6227078437805
80,6637,333.3543843817897
81,6744,114.81156697869301
82,6834,1729.0144064002598
83,6883,-119.4678895175457
84,6973,1611.9392119273543
85,7048,1022.8165460973978
86,7111,521.4482675790787
87,7171,80.9322264790535
88,7252,58.38742267340422
89,7326,227.57371644489467
90,7387,452.1319375038147
91,7450,436.5600248426199
92,7529,1209.0179692208767
93,7612,1159.9045161753893
94,7679,635.1932028084993
95,7781,1588.5077325701714
96,7821,262.65317249298096
97,7881,505.7828692942858
98,7965,931.9662630409002
99,8120,1690.21325655709
100,8186,259.7477775514126
101,8260,916.2371952980757
102,8315,471.69761173287407
103,8379,545.3491702973843
104,8480,359.5893620252609
105,8624,2128.702319957316
106,8692,806.3293747901917
107,8842,2075.1117601683363
108,8937,1312.617963515222
109,9017,990.2530202008784
110,9118,1424.0944691020995
111,9184,687.4381534159184
112,9249,808.0245447903872
113,9330,666.8707441240549
114,9389,196.14183716475964
115,9468,1255.0110540911555
116,9498,56.417142897844315
117,9703,-344.7130847238004
118,9827,1757.9229101538658
119,9903,303.7964556615334
120,9979,317.4343913681805
121,10108,1826.103612869978
122,10221,2297.6794996336102
123,10363,1047.291480334774
124,10436,949.899179905653
125,10488,365.07215201854706
126,10565,1083.2979598557577
127,10709,2350.2370230704546
128,10766,42.826160311698914
129,10888,2139.2951612770557
130,10958,296.19370380043983
131,11016,488.0909250974655
132,11137,2329.6731185913086
133,11231,1779.3046118849888
134,11308,1142.8325024843216
135,11435,3017.869552448392
136,11532,1276.4880247105725
137,11619,977.600952165667
138,11878,3562.284741844982
139,11962,1268.7122616395354
140,12014,484.6058399938047
141,12127,2097.5090878903866
142,12198,988.7597081363201
143,12265,922.6035116737476
144,12316,434.47325725853443
145,12391,814.2557527422905
146,12468,1093.3108886710834
147,12626,2329.5131597667933
148,12685,114.22531343352966
149,12765,1288.7879890203476
150,12849,1312.7283458709717
151,12942,1503.1451028883457
152,13038,1630.3985203877091
153,13148,2087.1052460446954
154,13246,1537.0549751222134
155,13312,45.20773337781429
156,13376,870.1483734678477
157,13458,1084.0519116334617
158,13504,291.9496052414179
159,13592,1448.646820180118
160,13760,2867.3953134566545
161,13888,2632.4889734499156
162,13974,1240.7871187105775
163,14024,416.16371720377356
164,14083,544.4865513057448
165,14166,1217.6235670521855
166,14265,1717.6294749015942
167,14389,1703.667412739247
168,14512,1775.469205364585
169,14562,528.1901110997424
170,14691,2491.2346092169173
171,14930,4000.676992728164
172,15034,1611.5594350099564
173,15141,1834.6243437826633
174,15225,1001.5353233218193
175,15305,982.3939286768436
176,15397,1384.8863278776407
177,15508,2243.7284928662702
178,15616,772.1011549383402
179,16217,128.10250703804195
180,16317,585.9152053166181
181,16370,148.61242155940272
182,16493,2497.5493861325085
183,16564,943.7264048606157
184,16711,3138.4361140206456
185,16892,1861.0482834074646
186,17018,2977.399099841714
187,17112,1726.8093226253986
188,17205,1185.151983720716
189,17267,685.9341166988015
190,17426,2316.0332512391033
191,17498,853.1681278347969
192,17627,2085.437875851989
193,17679,66.11289792135358
194,17741,196.93521465733647
195,17898,2640.4498571157455
196,17986,907.7206542985514
197,18050,556.431376170367
198,18094,426.451417863369
199,18192,1740.998453198932
200,18258,884.5070930775255
201,18344,1483.3747374685481
202,18477,2090.6927620507777
203,18527,466.6581627205014
204,18803,2881.603035926819
205,18875,1159.2443883349188
206,18972,1744.295468300581
207,19085,1663.6279466748238
208,19189,1516.4962970719207
209,19313,1352.524675401859
210,19449,1909.4967368766665
211,19512,23.17465327307582
212,19582,699.5012749228626
213,19673,1304.8096644729376
214,19881,4327.944783687592
